process,systematic,variation,bin,edge_lo,edge_hi,value
Other,Higgs_CMS_eff_e_reco_20to75,Down,9,0.004267894997991053,0.0050779368864586815,0.0802054170677603
Other,Higgs_CMS_eff_e_reco_20to75,Down,10,0.0050779368864586815,0.006105206239196243,0.0823998975178094
Other,Higgs_CMS_eff_e_reco_20to75,Down,11,0.006105206239196243,0.007522517248260182,0.09542270774237305
Other,Higgs_CMS_eff_e_reco_20to75,Down,12,0.007522517248260182,0.009719243336259968,0.11703200733224883
Other,Higgs_CMS_eff_e_reco_20to75,Down,13,0.009719243336259968,0.013643487834444395,0.20485357189179787
Other,Higgs_CMS_eff_e_reco_20to75,Down,14,0.013643487834444395,0.022087249077993153,0.6765278105086073
Other,Higgs_CMS_eff_e_reco_20to75,Down,15,0.022087249077993153,0.04393358703334,2.4403178871947526
Other,Higgs_CMS_eff_e_reco_20to75,Down,16,0.04393358703334,0.10073404070562539,5.406403184038298
Other,Higgs_CMS_eff_e_reco_20to75,Down,17,0.10073404070562539,0.23767632438315117,8.746731065073602
Other,Higgs_CMS_eff_e_reco_20to75,Down,18,0.23767632438315117,0.4957539730742803,13.709694050844988
Other,Higgs_CMS_eff_e_reco_20to75,Down,19,0.4957539730742803,1.0,22.73683686607889
Other,Higgs_CMS_eff_e_reco_20to75,Up,0,0.0,0.0009567917389306952,0.020552287055543798
Other,Higgs_CMS_eff_e_reco_20to75,Up,1,0.0009567917389306952,0.0011761846848516988,0.02318851934418425
Other,Higgs_CMS_eff_e_reco_20to75,Up,2,0.0011761846848516988,0.0014056492364034057,0.0279967968106775
Other,Higgs_CMS_eff_e_reco_20to75,Up,3,0.0014056492364034057,0.0016879615058736856,0.031906875357783124
Other,Higgs_CMS_eff_e_reco_20to75,Up,4,0.0016879615058736856,0.002029518495153339,0.03689102974379574
Other,Higgs_CMS_eff_e_reco_20to75,Up,5,0.002029518495153339,0.0024498090280613213,0.04912987331114463
Other,Higgs_CMS_eff_e_reco_20to75,Up,6,0.0024498090280613213,0.0029563838476912704,0.06066715669484199
Other,Higgs_CMS_eff_e_reco_20to75,Up,7,0.0029563838476912704,0.003557510286689314,0.06727467376799062
Other,Higgs_CMS_eff_e_reco_20to75,Up,8,0.003557510286689314,0.004267894997991053,0.07608320447750572
Other,Higgs_CMS_eff_e_reco_20to75,Up,9,0.004267894997991053,0.0050779368864586815,0.08183280035559876
Other,Higgs_CMS_eff_e_reco_20to75,Up,10,0.0050779368864586815,0.006105206239196243,0.08437384752447857
